Tipo,Combinacion,Categoria,Salida,Total_Trades,Alcanza,Pct_Alcance,Pips_Por_Trade,Pips_Totales,Score
BUY,K,Combos,Combo_c_AND_f,338,338,100.0,-0.3322485207100592,-112.30000000000001,-112.30000000000001
BUY,K,Cruces_New,SMA5×LWMA100,338,338,100.0,-0.3837278106508875,-129.7,-129.7
SELL,K,Cruces_Orig,LWMA20×22,336,336,100.0,-0.4976190476190477,-167.20000000000002,-167.20000000000002
BUY,K,Cruces_Orig,LWMA50×53,338,338,100.0,-0.5050295857988167,-170.70000000000005,-170.70000000000005
SELL,K,Cruces_New,SMA5×LWMA20,336,336,100.0,-0.5744047619047622,-193.00000000000009,-193.00000000000009
BUY,K,Cruces_Orig,LWMA20×22,338,338,100.0,-0.5914201183431953,-199.9,-199.9
BUY,K,Combos,Combo_c_AND_d,338,338,100.0,-0.6440828402366866,-217.70000000000007,-217.70000000000007
BUY,K,Combos,Combo_b_AND_g,338,337,99.70414201183432,-0.7492581602373887,-252.49999999999997,-251.75295857988164
BUY,K,Cruces_New,LWMA20×LWMA100,338,338,100.0,-0.8582840236686391,-290.1,-290.1
SELL,K,Cruces_New,LWMA20×LWMA100,336,336,100.0,-0.8928571428571429,-300.0,-300.0
SELL,K,Cruces_New,SMA5×LWMA100,336,336,100.0,-0.9187499999999998,-308.69999999999993,-308.69999999999993
SELL,K,Cruces_New,LWMA20×LWMA50,336,336,100.0,-0.9654761904761904,-324.4,-324.4
SELL,K,Cruces_New,SMA5×LWMA50,336,336,100.0,-1.0330357142857143,-347.09999999999997,-347.09999999999997
BUY,K,Cruces_Orig,LWMA200×220,338,332,98.22485207100591,-1.3828313253012048,-459.09999999999997,-450.95029585798807
BUY,K,Combos,Combo_b_AND_d,338,338,100.0,-1.3997041420118348,-473.10000000000014,-473.10000000000014
SELL,K,Cruces_Orig,LWMA50×53,336,336,100.0,-1.4312500000000004,-480.9000000000001,-480.9000000000001
SELL,K,Cruces_New,SMA5×LWMA200,336,336,100.0,-1.4735119047619047,-495.1,-495.1
SELL,K,Combos,Combo_c_AND_d,336,336,100.0,-1.7145833333333333,-576.1,-576.1
SELL,K,Combos,Combo_c_AND_f,336,336,100.0,-1.8815476190476188,-632.1999999999999,-632.1999999999999
BUY,K,Combos,Combo_a_AND_d,338,328,97.0414201183432,-2.002439024390244,-656.8,-637.3680473372781
SELL,K,Cruces_New,LWMA20×LWMA200,336,336,100.0,-2.314583333333333,-777.6999999999999,-777.6999999999999
SELL,K,Cruces_Orig,LWMA100×105,336,336,100.0,-2.425297619047619,-814.9,-814.9
SELL,K,Cruces_Orig,LWMA200×220,336,331,98.51190476190477,-2.623867069486405,-868.5,-855.575892857143
SELL,K,Combos,Combo_b_AND_g,336,336,100.0,-2.6851190476190476,-902.2,-902.2
BUY,K,Combos,Combo_a_AND_h,338,328,97.0414201183432,-2.8222560975609756,-925.6999999999999,-898.312426035503
SELL,K,Combos,Combo_b_AND_d,336,336,100.0,-2.8467261904761907,-956.5,-956.5
SELL,K,Combos,Combo_a_AND_h,336,328,97.61904761904762,-3.803048780487805,-1247.4,-1217.7
SELL,K,Combos,Combo_a_AND_d,336,329,97.91666666666666,-4.246504559270517,-1397.1,-1367.9937499999996
