Tipo,Combinacion,Categoria,Salida,Total_Trades,Alcanza,Pct_Alcance,Pips_Por_Trade,Pips_Totales,Score
BUY,K,Pips_Fijos,P50,338,123,36.3905325443787,54.14715447154472,6660.1,2423.645857988166
BUY,K,Pips_Fijos,P40,338,152,44.97041420118343,43.45131578947369,6604.6,2970.115976331361
SELL,K,Pips_Fijos,P40,336,150,44.642857142857146,43.608,6541.2,2920.1785714285716
BUY,K,Pips_Fijos,P55,338,109,32.24852071005917,59.054128440366966,6436.9,2075.8050295857984
BUY,K,Pips_Fijos,P30,338,189,55.917159763313606,33.70634920634921,6370.5,3562.2026627218934
BUY,K,Pips_Fijos,P35,338,164,48.5207100591716,38.76646341463415,6357.700000000001,3084.801183431953
SELL,K,Pips_Fijos,P35,336,164,48.80952380952381,38.700609756097556,6346.9,3097.8916666666664
SELL,K,Pips_Fijos,P50,336,117,34.82142857142857,53.894017094017094,6305.6,2195.7
BUY,K,Pips_Fijos,P60,338,98,28.994082840236686,64.03673469387755,6275.6,1819.5526627218935
SELL,K,Pips_Fijos,P30,336,177,52.67857142857143,34.48418079096046,6103.700000000001,3215.3419642857148
BUY,K,Pips_Fijos,P65,338,88,26.035502958579883,68.32045454545454,6012.2,1565.3065088757396
BUY,K,Pips_Fijos,P25,338,208,61.53846153846154,28.383173076923075,5903.7,3633.046153846154
BUY,K,Pips_Fijos,P70,338,78,23.076923076923077,74.61794871794872,5820.2,1343.1230769230767
SELL,K,Pips_Fijos,P55,336,93,27.67857142857143,58.99354838709678,5486.400000000001,1518.5571428571432
BUY,K,Pips_Fijos,P75,338,69,20.414201183431953,78.32608695652173,5404.5,1103.2855029585799
SELL,K,Pips_Fijos,P25,336,189,56.25,28.500529100529103,5386.6,3029.9625
BUY,K,Pips_Fijos,P20,338,231,68.34319526627219,22.551082251082253,5209.3,3560.2020710059173
SELL,K,Pips_Fijos,P60,336,79,23.511904761904763,64.33037974683543,5082.099999999999,1194.8985119047618
BUY,K,Pips_Fijos,P80,338,60,17.75147928994083,83.80166666666668,5028.1,892.5621301775149
SELL,K,Pips_Fijos,P65,336,73,21.726190476190478,68.84520547945205,5025.7,1091.8931547619047
SELL,K,Pips_Fijos,P20,336,216,64.28571428571429,23.18611111111111,5008.2,3219.557142857143
SELL,K,Pips_Fijos,P70,336,64,19.047619047619047,73.76250000000002,4720.800000000001,899.2000000000002
SELL,K,Pips_Fijos,P75,336,57,16.964285714285715,80.23859649122808,4573.6,775.8785714285715
BUY,K,Pips_Fijos,P85,338,51,15.088757396449704,88.88627450980391,4533.2,684.003550295858
BUY,K,Pips_Fijos,P15,338,255,75.44378698224851,17.633333333333333,4496.5,3392.329881656804
BUY,K,Pips_Fijos,P90,338,48,14.201183431952662,93.65208333333334,4495.3,638.3857988165681
SELL,K,Pips_Fijos,P15,336,240,71.42857142857143,18.424166666666665,4421.799999999999,3158.428571428571
